density,time_min,time_max,time_avg,mem_min,mem_max,mem_avg
8,3.4000108800348165e-08,3.800012160038912e-08,3.5280112896361266e-08,1104,1104,1104
16,6.400040960262146e-08,6.80004352027853e-08,6.544041881868044e-08,1104,1104,1104
32,1.2000153601966104e-07,1.280016384209718e-07,1.2352158107623776e-07,1104,1104,1104
64,2.400061441572904e-07,2.5600655376777646e-07,2.4448625884822644e-07,1104,1104,1104
