density,r2u2_c,r2u2_rust,hydra,bvmon
10,3617944.283646888,1434719.942611191,7692306.153846154,21004134.453781515
5,3631081.336238199,1499699.7600479906,7598782.674772036,20742672.199170124
2,3869967.492260061,1681802.2199798184,7645256.880733944,20238801.6194332
1,4071659.6091205203,1861503.3507073713,7374628.3185840715,19527281.25
0.75,4262572.890025576,1997602.0775069916,7507504.504504504,19916270.916334663
0.5,4460301.516503123,2117745.8703939007,7692304.615384615,19527281.25
0.25,4901959.803921568,2409638.0722891563,7961781.847133758,20404016.32653061
0.1,5324791.267305645,2763946.379215035,8333298.333333335,21363179.487179484
0.05,5537096.345514949,2906975.581395349,8361200.668896323,21640623.376623377
0.01,5707668.949771689,3035772.9204614446,8474437.288135594,21640623.376623373
0.005,5701168.757126568,2891801.6194331977,8503273.80952381,21734713.043478258
0.001,4642128.133704735,2113983.932346723,8488237.691001698,21547344.827586208
0.0005,4141672.7423363714,1791755.9139784947,8331663.333333335,21734713.043478258
0.0001,3681148.011782032,1503910.649819495,8317800.3327787025,21734713.043478258
5e-05,3527875.088214538,1414944.523068214,7998396.8,21272272.340425536
1e-05,3457122.4066390037,1416548.3139699632,8331663.333333334,21182135.593220342
5e-06,3486052.3012552303,1382466.5376106196,8401677.310924372,21734713.043478258
1e-06,3503152.76804485,1377514.1912372555,8168297.385620915,21182135.593220342
