density,r2u2_c,r2u2_rust,hydra,bvmon
10,3639009.4614264923,1465415.8851113715,7598782.674772034,22619764.70588235
5,3706448.480355819,1516989.987864078,7739936.53250774,22722581.818181816
2,3885003.1080031083,1667222.0740246745,7598782.674772034,21734643.478260867
1,3858023.9197530863,1829491.035492133,7331376.832844576,20742605.809128627
0.75,4222972.128378379,1966954.760031471,7429419.019316493,20829033.33333333
0.5,4436556.344276841,2108814.424293547,7541476.621417797,21363111.111111112
0.25,4844952.519379845,2369663.981042654,7936493.650793651,21734643.478260867
0.1,5353312.633832977,2627427.220178665,7961773.885350319,22517873.87387387
0.05,5518747.240618101,2757851.6271373415,8237207.578253705,22722581.818181816
0.01,5649666.666666667,2862023.468803663,8333258.333333335,22722581.818181816
0.005,5624251.968503937,2857120.000000001,8196655.737704918,22722581.818181816
0.001,4573627.630375113,2073403.1522189963,8195039.344262295,22416896.860986546
0.0005,4117771.8286655685,1747282.418734708,8115217.532467533,22119327.433628317
0.0001,3673016.164584864,1498044.6508840274,8168258.169934641,22931045.87155963
5e-05,3547888.573456352,1403812.1314237574,8303943.521594685,22826337.89954338
1e-05,3565602.7104136944,1396751.8860016766,8290172.470978442,22619764.70588235
5e-06,3452330.8011049726,1379408.1125827816,8262766.942148759,22316821.428571425
1e-06,3449948.2401656318,1365467.0854957663,8102064.829821718,21829554.58515284
