density,r2u2_c,r2u2_rust,hydra,bvmon
10,3581661.1747851013,1388117.4347584678,7462685.074626865,7596963.414634148
5,3649634.3065693434,1485883.8038632988,7552868.5800604215,7738521.7391304355
2,3790749.810462471,1595404.9138481175,7309940.058479533,7608561.832061068
1,3977723.1503579947,1851851.111111111,7062144.06779661,7494147.368421053
0.75,4065038.211382114,1900416.9517293803,7299265.693430657,6989632.538569424
0.5,4488329.4434470385,2175804.6127067017,7776048.211508554,7786887.500000001
0.25,4980075.697211156,2488798.407167745,7949119.236883944,7585400.304414003
0.1,5411251.082251082,2799549.8320268756,8333326.666666669,7910488.888888889
0.05,5611671.156004489,2910360.302677532,8264461.157024793,7973772.8
0.01,5740518.943742824,3073135.8328211433,8546994.871794872,8012231.511254018
0.005,5813843.023255813,3158499.68414403,8546846.153846154,8025133.655394525
0.001,5839543.224299067,3076091.6923076925,8588743.986254295,7910488.888888889
0.0005,5839459.112149534,3100854.2183622834,8529994.880546076,7910488.888888889
0.0001,5197448.383733056,2552152.073732719,8462398.98132428,7872998.420221169
5e-05,4303639.896373058,1928643.5758513932,7923074.721780604,7539497.730711044
1e-05,3567369.362920544,1524973.9902080784,8375821.848739496,7923065.182829888
5e-06,3492372.1093202527,1402255.2054023633,8077170.1782820085,7516754.147812971
1e-06,3383309.5723014255,1328964.0,7961044.728434505,7562379.362670713
