density,r2u2_c,r2u2_rust,hydra,bvmon
10,3597121.5827338127,1438434.6950517835,7680490.015360983,28571337.142857146
5,3736919.2825112105,1552312.325364794,7800308.892355693,27322316.939890716
2,3918493.7304075235,1718212.3711340206,7564293.4947049925,27624220.994475145
1,4101721.9031993435,1906940.8848207472,7342142.437591777,26315705.263157897
0.75,4258938.67120954,1988859.9840891007,7440467.261904761,26315705.263157897
0.5,4476273.948075202,2179598.081952921,7739934.984520123,27026940.540540546
0.25,4651154.41860465,2209452.496685815,7911378.164556963,27472439.560439564
0.1,4344039.09643788,1921594.5426594927,8077525.040387723,29069674.418604653
0.05,4028999.9999999995,1750083.654182709,8090595.4692556625,29239672.514619887
0.01,3573973.5525375274,1473618.9213085766,8116863.636363638,28901641.61849711
0.005,3506303.646563815,1436365.6995116344,8264442.975206612,29411670.588235296
0.001,3536060.113154172,1404096.8828980625,8445925.675675675,29411670.588235296
0.0005,3508764.2105263155,1401735.071488646,8445925.675675677,28409000.0
0.0001,3533561.130742049,1386574.875207987,8103708.265802271,29411670.588235296
5e-05,3472214.5833333335,1380449.7515184977,8445925.675675677,28571337.142857146
1e-05,3443518.595041322,1374000.824402308,8361183.946488297,28571337.142857146
5e-06,3541068.696883852,1376648.9537444934,8278125.82781457,28409000.0
1e-06,3503846.5311843026,1387729.392173189,8305627.906976743,27624220.994475145
